time,X1,Y1,X2,Y2,Z2
19.88,89.86,71.53,1.72,-8.66,-4.08
19.88,89.56,71.25,1.72,-8.66,-4.08
19.88,89.56,71.68,1.72,-8.66,-4.08
19.88,89.71,71.68,1.72,-8.66,-4.08
19.88,89.56,71.82,1.72,-8.66,-4.08
19.88,89.71,71.53,1.63,-8.7,-4.08
19.88,89.86,71.82,1.63,-8.7,-4.08
19.88,89.56,71.53,1.63,-8.7,-4.08
19.88,89.56,71.39,1.63,-8.7,-4.08
19.88,89.56,71.68,1.63,-8.7,-4.08
19.88,89.71,71.53,1.63,-8.7,-4.08
19.88,89.56,71.39,1.69,-8.67,-4.1
19.88,89.56,71.53,1.69,-8.67,-4.1
19.88,89.56,71.53,1.69,-8.67,-4.1
19.926,89.71,71.53,1.69,-8.67,-4.1
19.926,89.71,71.53,1.69,-8.67,-4.1
19.926,89.71,71.53,1.69,-8.67,-4.1
19.926,89.86,71.68,1.69,-8.66,-4.11
19.926,89.71,71.68,1.69,-8.66,-4.11
19.926,89.71,71.68,1.69,-8.66,-4.11
19.926,89.71,71.53,1.69,-8.66,-4.11
19.926,89.56,71.68,1.69,-8.66,-4.11
19.926,89.56,71.68,1.69,-8.66,-4.11
19.926,89.86,71.82,1.59,-8.66,-4.11
19.926,89.71,71.53,1.59,-8.66,-4.11
19.926,89.71,71.68,1.59,-8.66,-4.11
19.926,89.71,71.68,1.59,-8.66,-4.11
19.926,89.56,71.53,1.59,-8.66,-4.11
19.926,89.86,71.68,1.59,-8.66,-4.11
19.973,89.71,71.53,1.59,-8.66,-4.11
19.973,89.86,71.53,1.64,-8.69,-4.09
19.973,89.56,71.68,1.64,-8.69,-4.09
19.973,89.71,71.68,1.64,-8.69,-4.09
19.973,89.41,71.53,1.64,-8.69,-4.09
19.973,89.71,71.68,1.64,-8.69,-4.09
19.973,89.86,71.53,1.64,-8.69,-4.09
19.973,89.56,71.53,1.68,-8.7,-4.15
19.973,89.41,71.53,1.68,-8.7,-4.15
19.973,89.71,71.39,1.68,-8.7,-4.15
19.973,89.71,71.53,1.68,-8.7,-4.15
19.973,89.71,71.53,1.68,-8.7,-4.15
19.973,89.86,71.39,1.68,-8.7,-4.15
19.973,89.71,71.68,1.66,-8.68,-4.14
20.019,89.71,71.53,1.66,-8.68,-4.14
20.019,89.71,71.53,1.66,-8.68,-4.14
20.019,89.71,71.53,1.66,-8.68,-4.14
20.019,89.56,71.53,1.66,-8.68,-4.14
20.019,89.71,71.68,1.66,-8.68,-4.14
20.019,89.56,71.53,1.63,-8.68,-4.11
20.019,89.71,71.53,1.63,-8.68,-4.11
20.019,89.56,71.96,1.63,-8.68,-4.11
20.019,89.86,71.68,1.63,-8.68,-4.11
20.019,89.56,71.53,1.63,-8.68,-4.11
20.019,89.86,71.68,1.63,-8.68,-4.11
20.019,89.56,71.68,1.6,-8.68,-4.08
20.019,89.86,71.82,1.6,-8.68,-4.08
20.019,89.71,71.82,1.6,-8.68,-4.08
20.067,89.56,71.82,1.6,-8.68,-4.08
20.067,89.86,71.68,1.6,-8.68,-4.08
20.067,89.71,71.68,1.6,-8.68,-4.08
20.067,89.86,71.82,1.57,-8.7,-4.11
20.067,89.56,71.25,1.57,-8.7,-4.11
20.067,89.56,71.68,1.57,-8.7,-4.11
20.067,89.71,71.53,1.57,-8.7,-4.11
20.067,89.56,71.68,1.57,-8.7,-4.11
20.067,89.71,71.53,1.57,-8.7,-4.11
20.067,89.71,71.68,1.62,-8.67,-4.13
20.067,89.71,71.53,1.62,-8.67,-4.13
20.067,89.56,71.68,1.62,-8.67,-4.13
20.067,89.56,71.39,1.62,-8.67,-4.13
20.067,89.71,71.68,1.62,-8.67,-4.13
20.113,89.56,71.53,1.62,-8.67,-4.13
20.113,89.26,71.53,1.67,-8.67,-4.14
20.113,89.56,71.68,1.67,-8.67,-4.14
20.113,89.41,71.53,1.67,-8.67,-4.14
20.113,89.56,71.68,1.67,-8.67,-4.14
20.113,89.41,71.68,1.67,-8.67,-4.14
20.113,89.56,70.96,1.67,-8.67,-4.14
20.113,89.56,71.53,1.65,-8.61,-4.17
20.113,89.56,71.53,1.65,-8.61,-4.17
20.113,89.41,71.39,1.65,-8.61,-4.17
20.113,89.71,71.53,1.65,-8.61,-4.17
20.113,89.41,71.53,1.65,-8.61,-4.17
20.113,89.56,71.82,1.65,-8.61,-4.17
20.113,89.71,71.68,1.6,-8.64,-4.21
20.158,89.56,71.68,1.6,-8.64,-4.21
20.158,89.56,71.68,1.6,-8.64,-4.21
20.158,89.71,71.68,1.6,-8.64,-4.21
20.158,89.56,71.68,1.6,-8.64,-4.21
20.158,90.16,71.68,1.6,-8.64,-4.21
20.158,89.56,71.68,1.61,-8.63,-4.19
20.158,89.71,71.53,1.61,-8.63,-4.19
20.158,89.56,71.53,1.61,-8.63,-4.19
20.158,89.56,71.53,1.61,-8.63,-4.19
20.158,89.71,71.82,1.61,-8.63,-4.19
20.158,89.71,71.68,1.61,-8.63,-4.19
20.158,89.56,71.53,1.63,-8.69,-4.18
20.158,89.71,71.53,1.63,-8.69,-4.18
20.205,89.56,71.39,1.63,-8.69,-4.18
20.205,89.41,71.53,1.63,-8.69,-4.18
20.205,89.56,71.68,1.63,-8.69,-4.18
20.205,89.56,71.53,1.63,-8.69,-4.18
20.205,89.71,71.53,1.68,-8.63,-4.22
20.205,89.56,71.39,1.68,-8.63,-4.22
20.205,89.56,71.68,1.68,-8.63,-4.22
20.205,89.41,71.68,1.68,-8.63,-4.22
20.205,89.56,71.53,1.68,-8.63,-4.22
20.205,89.41,71.53,1.68,-8.63,-4.22
20.205,89.56,71.53,1.66,-8.6,-4.21
20.205,89.56,71.82,1.66,-8.6,-4.21
20.205,89.71,71.68,1.66,-8.6,-4.21
20.205,89.56,71.68,1.66,-8.6,-4.21
20.251,89.56,72.11,1.66,-8.6,-4.21
20.251,89.86,71.82,1.66,-8.6,-4.21
20.251,89.71,71.82,1.56,-8.67,-4.22
